rank,mark,competitor,dob,nat,pos,venue,date,result_score
"
4596                                        ","
                                            13:46.26
                                        ","
        ","
                                            12 DEC 1985
                                        ","
                                            ","
                                            3
                                        ","
                                            Auburn, AL (USA)
                                        ","
                                            18 MAY 2008
                                        ","
                                                1046
                                            "
"
4596                                        ","
                                            13:46.26
                                        ","
        ","
                                            15 AUG 1989
                                        ","
                                            ","
                                            2
                                        ","
                                            Izmir (TUR)
                                        ","
                                            05 JUL 2012
                                        ","
                                                1046
                                            "
"
4596                                        ","
                                            13:46.26
                                        ","
        ","
                                            25 SEP 1993
                                        ","
                                            ","
                                            4
                                        ","
                                            Cobb Track and Angell Field, Palo Alto, CA (USA)
                                        ","
                                            02 APR 2021
                                        ","
                                                1046
                                            "
"
4599                                        ","
                                            13:46.27
                                        ","
        ","
                                            1975
                                        ","
                                            ","
                                            5
                                        ","
                                            Oordegem (BEL)
                                        ","
                                            22 AUG 1999
                                        ","
                                                1046
                                            "
"
4600                                        ","
                                            13:46.28
                                        ","
        ","
                                            
                                        ","
                                            ","
                                            5
                                        ","
                                            Tartu (EST)
                                        ","
                                            11 JUN 1998
                                        ","
                                                1046
                                            "
"
3887                                        ","
                                            13:43.20
                                        ","
        ","
                                            15 FEB 1991
                                        ","
                                            ","
                                            6
                                        ","
                                            Rabat (MAR)
                                        ","
                                            31 MAY 2014
                                        ","
                                                1056
                                            "
"
3892                                        ","
                                            13:43.22
                                        ","
        ","
                                            27 FEB 1954
                                        ","
                                            ","
                                            5
                                        ","
                                            London (GBR)
                                        ","
                                            14 AUG 1976
                                        ","
                                                1056
                                            "
"
3892                                        ","
                                            13:43.22
                                        ","
        ","
                                            08 FEB 1969
                                        ","
                                            ","
                                            7
                                        ","
                                            Pontevedra (ESP)
                                        ","
                                            03 AUG 1993
                                        ","
                                                1056
                                            "
"
3894                                        ","
                                            13:43.23
                                        ","
        ","
                                            27 APR 1965
                                        ","
                                            ","
                                            5
                                        ","
                                            Marinha Grande (POR)
                                        ","
                                            26 JUL 1995
                                        ","
                                                1056
                                            "
"
3894                                        ","
                                            13:43.23
                                        ","
        ","
                                            07 APR 1992
                                        ","
                                            ","
                                            4
                                        ","
                                            Sochi (RUS)
                                        ","
                                            26 MAY 2017
                                        ","
                                                1056
                                            "
"
3896                                        ","
                                            13:43.24
                                        ","
        ","
                                            30 JAN 1998
                                        ","
                                            ","
                                            1f41
                                        ","
                                            NITTAIDAI Athletic Stadium, Yokohama (JPN)
                                        ","
                                            05 DEC 2021
                                        ","
                                                1056
                                            "
"
3897                                        ","
                                            13:43.25
                                        ","
        ","
                                            12 NOV 1960
                                        ","
                                            ","
                                            3
                                        ","
                                            Torino (ITA)
                                        ","
                                            02 JUN 1982
                                        ","
                                                1056
                                            "
"
3897                                        ","
                                            13:43.25
                                        ","
        ","
                                            19 SEP 1973
                                        ","
                                            ","
                                            6
                                        ","
                                            Walnut, CA (USA)
                                        ","
                                            20 APR 2001
                                        ","
                                                1056
                                            "
"
3899                                        ","
                                            13:43.27
                                        ","
        ","
                                            11 OCT 1992
                                        ","
                                            ","
                                            2f15
                                        ","
                                            Yokohama (JPN)
                                        ","
                                            24 MAY 2015
                                        ","
                                                1056
                                            "
"
3900                                        ","
                                            13:43.28
                                        ","
        ","
                                            22 JAN 1988
                                        ","
                                            ","
                                            1
                                        ","
                                            Kure (JPN)
                                        ","
                                            14 APR 2012
                                        ","
                                                1056
                                            "
"
4661                                        ","
                                            13:46.54
                                        ","
        ","
                                            29 SEP 1980
                                        ","
                                            ","
                                            3
                                        ","
                                            Cape Town (RSA)
                                        ","
                                            19 APR 2002
                                        ","
                                                1045
                                            "
"
4661                                        ","
                                            13:46.54
                                        ","
        ","
                                            10 NOV 2001
                                        ","
                                            ","
                                            6f41
                                        ","
                                            NITTAIDAI Athletic Stadium, Yokohama (JPN)
                                        ","
                                            05 DEC 2021
                                        ","
                                                1045
                                            "
"
4664                                        ","
                                            13:46.55
                                        ","
        ","
                                            25 SEP 1980
                                        ","
                                            ","
                                            12
                                        ","
                                            Sapporo (JPN)
                                        ","
                                            06 JUL 2005
                                        ","
                                                1045
                                            "
"
4664                                        ","
                                            13:46.55
                                        ","
        ","
                                            13 JUN 1989
                                        ","
                                            ","
                                            6f1
                                        ","
                                            Tokyo (JPN)
                                        ","
                                            23 MAY 2010
                                        ","
                                                1045
                                            "
"
4664                                        ","
                                            13:46.55
                                        ","
        ","
                                            18 JUN 2003
                                        ","
                                            ","
                                            8f3
                                        ","
                                            Boudewijnstadion, Bruxelles (BEL)
                                        ","
                                            25 MAY 2024
                                        ","
                                                1045
                                            "
"
4667                                        ","
                                            13:46.56
                                        ","
        ","
                                            10 MAR 1959
                                        ","
                                            ","
                                            4
                                        ","
                                            Århus (DEN)
                                        ","
                                            01 JUL 1987
                                        ","
                                                1045
                                            "
"
4667                                        ","
                                            13:46.56
                                        ","
        ","
                                            10 JUL 1988
                                        ","
                                            ","
                                            6f1
                                        ","
                                            Oordegem (BEL)
                                        ","
                                            05 JUN 2010
                                        ","
                                                1045
                                            "
"
4667                                        ","
                                            13:46.56
                                        ","
        ","
                                            18 MAR 1996
                                        ","
                                            ","
                                            1f6
                                        ","
                                            Nishishina Athletic Stadium, Nobeoka (JPN)
                                        ","
                                            04 MAY 2024
                                        ","
                                                1045
                                            "
"
4670                                        ","
                                            13:46.57
                                        ","
        ","
                                            20 JUN 1998
                                        ","
                                            ","
                                            1
                                        ","
                                            Germiston Stadium, Johannesburg (RSA)
                                        ","
                                            10 MAR 2023
                                        ","
                                                1045
                                            "
"
4671                                        ","
                                            13:46.58
                                        ","
        ","
                                            18 DEC 1965
                                        ","
                                            ","
                                            9
                                        ","
                                            Melbourne (AUS)
                                        ","
                                            07 FEB 1991
                                        ","
                                                1045
                                            "
"
4671                                        ","
                                            13:46.58
                                        ","
        ","
                                            1978
                                        ","
                                            ","
                                            3
                                        ","
                                            Dedham, MA (USA)
                                        ","
                                            05 JUN 1999
                                        ","
                                                1045
                                            "
"
4671                                        ","
                                            13:46.58
                                        ","
        ","
                                            08 MAY 1983
                                        ","
                                            ","
                                            5f1
                                        ","
                                            Hiroshima (JPN)
                                        ","
                                            28 APR 2012
                                        ","
                                                1045
                                            "
"
4671                                        ","
                                            13:46.58
                                        ","
        ","
                                            28 FEB 2003
                                        ","
                                            ","
                                            13f22
                                        ","
                                            NITTAIDAI Athletic Stadium, Yokohama (JPN)
                                        ","
                                            24 APR 2022
                                        ","
                                                1045
                                            "
"
4671                                        ","
                                            13:46.58
                                        ","
        ","
                                            03 APR 2001
                                        ","
                                            ","
                                            4f2
                                        ","
                                            McLeod Stadium, Langley (CAN)
                                        ","
                                            27 JUL 2023
                                        ","
                                                1045
                                            "
"
4676                                        ","
                                            13:46.59
                                        ","
        ","
                                            16 SEP 1977
                                        ","
                                            ","
                                            4
                                        ","
                                            SIAC Homebush, Sydney (AUS)
                                        ","
                                            25 AUG 1996
                                        ","
                                                1045
                                            "
"
4677                                        ","
                                            13:46.6h
                                        ","
        ","
                                            19 DEC 1938
                                        ","
                                            ","
                                            1
                                        ","
                                            Moskva (URS)
                                        ","
                                            25 JUN 1966
                                        ","
                                                1045
                                            "
"
4678                                        ","
                                            13:46.60
                                        ","
        ","
                                            22 JUN 1943
                                        ","
                                            ","
                                            7
                                        ","
                                            London (GBR)
                                        ","
                                            03 AUG 1968
                                        ","
                                                1045
                                            "
"
4678                                        ","
                                            13:46.6h
                                        ","
        ","
                                            27 APR 1939
                                        ","
                                            ","
                                            3
                                        ","
                                            Moskva (URS)
                                        ","
                                            30 MAY 1969
                                        ","
                                                1045
                                            "
"
4678                                        ","
                                            13:46.6h
                                        ","
        ","
                                            07 MAY 1950
                                        ","
                                            ","
                                            1
                                        ","
                                            Aarau (SUI)
                                        ","
                                            03 AUG 1972
                                        ","
                                                1045
                                            "
"
4678                                        ","
                                            13:46.6h
                                        ","
        ","
                                            24 AUG 1948
                                        ","
                                            ","
                                            2
                                        ","
                                            Eschweiler (FRG)
                                        ","
                                            22 JUN 1973
                                        ","
                                                1045
                                            "
"
4678                                        ","
                                            13:46.6h
                                        ","
        ","
                                            08 SEP 1944
                                        ","
                                            ","
                                            2
                                        ","
                                            Heinola (FIN)
                                        ","
                                            19 AUG 1973
                                        ","
                                                1045
                                            "
"
4682                                        ","
                                            13:46.60
                                        ","
        ","
                                            22 DEC 1952
                                        ","
                                            ","
                                            6
                                        ","
                                            Walnut, CA (USA)
                                        ","
                                            24 APR 1983
                                        ","
                                                1045
                                            "
"
4682                                        ","
                                            13:46.60
                                        ","
        ","
                                            31 DEC 1955
                                        ","
                                            ","
                                            5
                                        ","
                                            Lisboa (POR)
                                        ","
                                            02 JUL 1983
                                        ","
                                                1045
                                            "
"
4682                                        ","
                                            13:46.60
                                        ","
        ","
                                            27 JUN 1954
                                        ","
                                            ","
                                            22
                                        ","
                                            Walnut, CA (USA)
                                        ","
                                            28 APR 1984
                                        ","
                                                1045
                                            "
"
4682                                        ","
                                            13:46.60
                                        ","
        ","
                                            01 APR 1968
                                        ","
                                            ","
                                            13
                                        ","
                                            Walnut, CA (USA)
                                        ","
                                            20 APR 1991
                                        ","
                                                1045
                                            "
"
4682                                        ","
                                            13:46.6h
                                        ","
        ","
                                            12 NOV 1984
                                        ","
                                            ","
                                            3
                                        ","
                                            Kakamega (KEN)
                                        ","
                                            19 MAR 2005
                                        ","
                                                1045
                                            "
"
4682                                        ","
                                            13:46.6h
                                        ","
        ","
                                            1987
                                        ","
                                            ","
                                            5h2
                                        ","
                                            Nairobi (KEN)
                                        ","
                                            26 JUN 2008
                                        ","
                                                1045
                                            "
"
4682                                        ","
                                            13:46.6h
                                        ","
        ","
                                            
                                        ","
                                            ","
                                            3
                                        ","
                                            Addis Abeba (ETH)
                                        ","
                                            16 JAN 2021
                                        ","
                                                1045
                                            "
"
4690                                        ","
                                            13:46.61
                                        ","
        ","
                                            02 DEC 1969
                                        ","
                                            ","
                                            3
                                        ","
                                            Tartu (EST)
                                        ","
                                            19 JUN 2001
                                        ","
                                                1045
                                            "
"
4691                                        ","
                                            13:46.62
                                        ","
        ","
                                            28 APR 1952
                                        ","
                                            ","
                                            4
                                        ","
                                            Turku (FIN)
                                        ","
                                            13 JUL 1982
                                        ","
                                                1045
                                            "
"
4691                                        ","
                                            13:46.62
                                        ","
        ","
                                            25 OCT 1961
                                        ","
                                            ","
                                            3
                                        ","
                                            Knoxville, TN (USA)
                                        ","
                                            10 MAY 1985
                                        ","
                                                1045
                                            "
"
4691                                        ","
                                            13:46.62
                                        ","
        ","
                                            17 FEB 1959
                                        ","
                                            ","
                                            11
                                        ","
                                            Birmingham (GBR)
                                        ","
                                            26 JUL 1990
                                        ","
                                                1045
                                            "
"
4691                                        ","
                                            13:46.62
                                        ","
        ","
                                            24 AUG 2000
                                        ","
                                            ","
                                            1f18
                                        ","
                                            NITTAIDAI Athletic Stadium, Yokohama (JPN)
                                        ","
                                            15 NOV 2020
                                        ","
                                                1045
                                            "
"
4691                                        ","
                                            13:46.62
                                        ","
        ","
                                            08 JUL 2000
                                        ","
                                            ","
                                            6f1
                                        ","
                                            GVSU Track/Lacrosse Stadium, Allendale, MI (USA)
                                        ","
                                            01 MAY 2021
                                        ","
                                                1045
                                            "
"
4696                                        ","
                                            13:46.63
                                        ","
        ","
                                            12 JAN 1968
                                        ","
                                            ","
                                            6h1
                                        ","
                                            Birmingham (GBR)
                                        ","
                                            11 JUL 1997
                                        ","
                                                1045
                                            "
"
4696                                        ","
                                            13:46.63
                                        ","
        ","
                                            02 APR 1990
                                        ","
                                            ","
                                            9f2
                                        ","
                                            Torrance, CA (USA)
                                        ","
                                            14 APR 2017
                                        ","
                                                1045
                                            "
"
4696                                        ","
                                            13:46.63
                                        ","
        ","
                                            13 MAR 1999
                                        ","
                                            ","
                                            2f2
                                        ","
                                            Oordegem (BEL)
                                        ","
                                            26 MAY 2018
                                        ","
                                                1045
                                            "
"
4699                                        ","
                                            13:46.64
                                        ","
        ","
                                            1978
                                        ","
                                            ","
                                            2
                                        ","
                                            Lapinlahti (FIN)
                                        ","
                                            16 JUL 2000
                                        ","
                                                1045
                                            "
"
4700                                        ","
                                            13:46.65
                                        ","
        ","
                                            13 MAY 1964
                                        ","
                                            ","
                                            12
                                        ","
                                            Berlin (GER)
                                        ","
                                            27 JUN 1985
                                        ","
                                                1045
                                            "
"
4700                                        ","
                                            13:46.65
                                        ","
        ","
                                            16 FEB 1969
                                        ","
                                            ","
                                            11
                                        ","
                                            Sevilla (ESP)
                                        ","
                                            08 JUN 2002
                                        ","
                                                1045
                                            "
"
4700                                        ","
                                            13:46.65
                                        ","
        ","
                                            1975
                                        ","
                                            ","
                                            3
                                        ","
                                            Gavá (ESP)
                                        ","
                                            11 MAY 2003
                                        ","
                                                1045
                                            "
"
4700                                        ","
                                            13:46.65
                                        ","
        ","
                                            05 APR 1979
                                        ","
                                            ","
                                            9
                                        ","
                                            Rio de Janeiro (BRA)
                                        ","
                                            23 MAY 2010
                                        ","
                                                1045
                                            "
"
4700                                        ","
                                            13:46.65
                                        ","
        ","
                                            04 JAN 1982
                                        ","
                                            ","
                                            1
                                        ","
                                            St. Petersburg (RUS)
                                        ","
                                            21 JUN 2012
                                        ","
                                                1045
                                            "
"
4705                                        ","
                                            13:46.66
                                        ","
        ","
                                            01 JAN 1971
                                        ","
                                            ","
                                            1
                                        ","
                                            Bucureşti (ROU)
                                        ","
                                            25 JUN 1992
                                        ","
                                                1045
                                            "
"
4705                                        ","
                                            13:46.66
                                        ","
        ","
                                            16 NOV 1965
                                        ","
                                            ","
                                            5
                                        ","
                                            Cork (IRL)
                                        ","
                                            25 JUN 1994
                                        ","
                                                1045
                                            "
"
4705                                        ","
                                            13:46.66
                                        ","
        ","
                                            19 JAN 1985
                                        ","
                                            ","
                                            1
                                        ","
                                            Bydgoszcz (POL)
                                        ","
                                            31 JUL 2009
                                        ","
                                                1045
                                            "
"
4708                                        ","
                                            13:46.67
                                        ","
        ","
                                            09 SEP 1978
                                        ","
                                            ","
                                            6
                                        ","
                                            Nairobi (KEN)
                                        ","
                                            12 JUL 2003
                                        ","
                                                1045
                                            "
"
4709                                        ","
                                            13:46.68
                                        ","
        ","
                                            10 JUL 1966
                                        ","
                                            ","
                                            2
                                        ","
                                            Hiratsuka (JPN)
                                        ","
                                            18 OCT 1992
                                        ","
                                                1044
                                            "
"
4709                                        ","
                                            13:46.68
                                        ","
        ","
                                            29 AUG 1980
                                        ","
                                            ","
                                            1
                                        ","
                                            Palo Alto, CA (USA)
                                        ","
                                            20 JUN 2004
                                        ","
                                                1044
                                            "
